"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 17:45:19 PKT 2024","Tue Jan 16 17:45:21 PKT 2024","1468","chromium","crm.spec.js","","","","Verify edit functionality on leads is working properly",""
"passed","Tue Jan 16 17:45:17 PKT 2024","Tue Jan 16 17:45:19 PKT 2024","2021","chromium","crm.spec.js","","","","Verify lead is won",""
"passed","Tue Jan 16 17:45:05 PKT 2024","Tue Jan 16 17:45:11 PKT 2024","5435","chromium","crm.spec.js","","","","Verify Schedule Activity functionality is working properly",""
"passed","Tue Jan 16 17:45:11 PKT 2024","Tue Jan 16 17:45:15 PKT 2024","4505","chromium","crm.spec.js","","","","Verify lead is marked as lost",""
"passed","Tue Jan 16 17:44:38 PKT 2024","Tue Jan 16 17:44:42 PKT 2024","4614","chromium","crm.spec.js","","","","Verify redirects to leads",""
"passed","Tue Jan 16 17:45:01 PKT 2024","Tue Jan 16 17:45:03 PKT 2024","1277","chromium","crm.spec.js","","","","Verify send message on leads chatter",""
"passed","Tue Jan 16 17:44:56 PKT 2024","Tue Jan 16 17:45:01 PKT 2024","4853","chromium","crm.spec.js","","","","Verify stages on leads",""
"passed","Tue Jan 16 17:45:21 PKT 2024","Tue Jan 16 17:45:30 PKT 2024","9460","chromium","crm.spec.js","","","","Verify new quotation functinality it is created",""
"passed","Tue Jan 16 17:45:01 PKT 2024","Tue Jan 16 17:45:01 PKT 2024","101","chromium","crm.spec.js","","","","Verify leads new quotation",""
"passed","Tue Jan 16 17:45:03 PKT 2024","Tue Jan 16 17:45:05 PKT 2024","2792","chromium","crm.spec.js","","","","Verify log notes",""
"passed","Tue Jan 16 17:44:55 PKT 2024","Tue Jan 16 17:44:56 PKT 2024","1890","chromium","crm.spec.js","","","","Verify lead is converted to oportunity",""
"passed","Tue Jan 16 17:44:53 PKT 2024","Tue Jan 16 17:44:55 PKT 2024","1582","chromium","crm.spec.js","","","","Verify enrich Functionality on leads",""
"passed","Tue Jan 16 17:45:15 PKT 2024","Tue Jan 16 17:45:17 PKT 2024","1789","chromium","crm.spec.js","","","","Verify lead is restored",""
"passed","Tue Jan 16 17:44:51 PKT 2024","Tue Jan 16 17:44:53 PKT 2024","2334","chromium","crm.spec.js","","","","Verify lead is saved",""
"passed","Tue Jan 16 17:44:42 PKT 2024","Tue Jan 16 17:44:51 PKT 2024","8413","chromium","crm.spec.js","","","","Verify leads details",""
"passed","Tue Jan 16 17:44:24 PKT 2024","Tue Jan 16 17:44:38 PKT 2024","13758","chromium","crm.spec.js","","","","Verify CRM FLOW",""
